Flow Time,Interpolated Data
0.000000,2.3263
0.001925,2.3483
0.003850,2.3659
0.005774,2.3792
0.007699,2.3880
0.009624,2.3925
0.011549,2.3927
0.013474,2.3885
0.015399,2.3799
0.017323,2.3669
0.019248,2.3496
0.021173,2.3279
0.023098,2.3018
0.025023,2.2714
0.026947,2.2366
0.028872,2.1975
0.030797,2.1539
0.032722,2.1060
0.034647,2.0538
0.036571,1.9971
0.038496,1.9361
0.040421,1.8708
0.042346,1.8010
0.044271,1.7269
0.046196,1.6485
0.048120,1.5656
0.050045,1.4784
0.051970,1.3869
0.053895,1.2909
0.055820,1.1906
0.057744,1.0860
0.059669,1.0155
0.061594,1.0178
0.063519,1.0928
0.065444,1.2406
0.067369,1.4611
0.069293,1.7544
0.071218,2.1204
0.073143,2.5592
0.075068,3.0707
0.076993,3.6550
0.078917,4.3121
0.080842,5.0419
0.082767,5.8444
0.084692,6.7197
0.086617,7.6678
0.088541,8.6886
0.090466,9.7821
0.092391,10.9484
0.094316,12.1875
0.096241,13.4993
0.098166,14.8343
0.100090,16.1430
0.102015,17.4254
0.103940,18.6814
0.105865,19.9111
0.107790,21.1145
0.109714,22.2915
0.111639,23.4422
0.113564,24.5666
0.115489,25.6647
0.117414,26.7364
0.119339,27.7818
0.121263,28.8009
0.123188,29.7936
0.125113,30.7600
0.127038,31.7001
0.128963,32.6139
0.130887,33.5013
0.132812,34.3624
0.134737,35.1972
0.136662,35.9711
0.138587,36.6498
0.140511,37.2331
0.142436,37.7211
0.144361,38.1138
0.146286,38.4112
0.148211,38.6134
0.150136,38.7201
0.152060,38.7316
0.153985,38.6478
0.155910,38.4687
0.157835,38.1943
0.159760,37.8245
0.161684,37.3595
0.163609,36.7991
0.165534,36.1435
0.167459,35.3925
0.169384,34.5462
0.171309,33.6046
0.173233,32.5677
0.175158,31.5027
0.177083,30.4766
0.179008,29.4896
0.180933,28.5415
0.182857,27.6324
0.184782,26.7624
0.186707,25.9313
0.188632,25.1392
0.190557,24.3861
0.192481,23.6720
0.194406,22.9969
0.196331,22.3608
0.198256,21.7636
0.200181,21.2055
0.202106,20.6864
0.204030,20.2062
0.205955,19.7651
0.207880,19.3629
0.209805,18.9998
0.211730,18.6756
0.213654,18.3769
0.215579,18.0901
0.217504,17.8152
0.219429,17.5522
0.221354,17.3012
0.223279,17.0620
0.225203,16.8348
0.227128,16.6194
0.229053,16.4160
0.230978,16.2245
0.232903,16.0449
0.234827,15.8772
0.236752,15.7214
0.238677,15.5775
0.240602,15.4455
0.242527,15.3254
0.244451,15.2173
0.246376,15.1211
0.248301,15.0367
0.250226,14.9643
0.252151,14.8994
0.254076,14.8375
0.256000,14.7787
0.257925,14.7230
0.259850,14.6704
0.261775,14.6209
0.263700,14.5744
0.265624,14.5310
0.267549,14.4907
0.269474,14.4535
0.271399,14.4193
0.273324,14.3882
0.275249,14.3602
0.277173,14.3353
0.279098,14.3134
0.281023,14.2946
0.282948,14.2789
0.284873,14.2663
0.286797,14.2567
0.288722,14.2503
0.290647,14.2375
0.292572,14.2089
0.294497,14.1647
0.296421,14.1047
0.298346,14.0289
0.300271,13.9375
0.302196,13.8303
0.304121,13.7073
0.306046,13.5687
0.307970,13.4143
0.309895,13.2441
0.311820,13.0583
0.313745,12.8567
0.315670,12.6394
0.317594,12.4063
0.319519,12.1575
0.321444,11.8930
0.323369,11.6127
0.325294,11.3167
0.327219,11.0050
0.329143,10.6968
0.331068,10.4114
0.332993,10.1487
0.334918,9.9089
0.336843,9.6918
0.338767,9.4975
0.340692,9.3259
0.342617,9.1772
0.344542,9.0512
0.346467,8.9480
0.348391,8.8676
0.350316,8.8100
0.352241,8.7751
0.354166,8.7631
0.356091,8.7738
0.358016,8.8073
0.359940,8.8635
0.361865,8.9426
0.363790,9.0444
0.365715,9.1690
0.367640,9.2902
0.369564,9.3821
0.371489,9.4445
0.373414,9.4774
0.375339,9.4809
0.377264,9.4550
0.379188,9.3996
0.381113,9.3148
0.383038,9.2006
0.384963,9.0569
0.386888,8.8837
0.388813,8.6812
0.390737,8.4491
0.392662,8.1877
0.394587,7.8968
0.396512,7.5765
0.398437,7.2267
0.400361,6.8475
0.402286,6.4388
0.404211,6.0007
0.406136,5.6084
0.408061,5.3369
0.409986,5.1862
0.411910,5.1565
0.413835,5.2476
0.415760,5.4595
0.417685,5.7924
0.419610,6.2461
0.421534,6.8207
0.423459,7.5161
0.425384,8.3325
0.427309,9.2697
0.429234,10.3278
0.431158,11.5067
0.433083,12.8065
0.435008,14.2272
0.436933,15.7687
0.438858,17.4312
0.440783,19.2145
0.442707,21.1186
0.444632,23.0232
0.446557,24.8077
0.448482,26.4721
0.450407,28.0164
0.452331,29.4406
0.454256,30.7447
0.456181,31.9288
0.458106,32.9927
0.460031,33.9366
0.461956,34.7604
0.463880,35.4641
0.465805,36.0478
0.467730,36.5113
0.469655,36.8548
0.471580,37.0781
0.473504,37.1814
0.475429,37.1646
0.477354,37.0277
0.479279,36.7708
0.481204,36.3937
0.483128,35.9630
0.485053,35.5450
0.486978,35.1398
0.488903,34.7474
0.490828,34.3677
0.492753,34.0007
0.494677,33.6465
0.496602,33.3051
0.498527,32.9764
0.500452,32.6605
0.502377,32.3573
0.504301,32.0669
0.506226,31.7893
0.508151,31.5244
0.510076,31.2722
0.512001,31.0329
0.513926,30.8062
0.515850,30.5923
0.517775,30.3912
0.519700,30.2029
0.521625,30.0161
0.523550,29.8197
0.525474,29.6138
0.527399,29.3983
0.529324,29.1732
0.531249,28.9386
0.533174,28.6943
0.535098,28.4405
0.537023,28.1771
0.538948,27.9041
0.540873,27.6216
0.542798,27.3295
0.544723,27.0278
0.546647,26.7165
0.548572,26.3956
0.550497,26.0652
0.552422,25.7252
0.554347,25.3756
0.556271,25.0164
0.558196,24.6477
0.560121,24.2716
0.562046,23.8906
0.563971,23.5047
0.565896,23.1138
0.567820,22.7178
0.569745,22.3170
0.571670,21.9111
0.573595,21.5003
0.575520,21.0845
0.577444,20.6638
0.579369,20.2380
0.581294,19.8073
0.583219,19.3717
0.585144,18.9310
0.587068,18.4854
0.588993,18.0348
0.590918,17.5792
0.592843,17.1187
0.594768,16.6532
0.596693,16.1828
